team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,department_finishing ,actual_productivity,day,quarter_num,department,idle_time?,idle_men?
9,0.75,3.94,0.0,960,0,0.0,0,0,8,0,0.755166667,Wednesday,1,finishing,False,False
7,0.65,30.1,909.0,7080,0,0.0,0,1,59,0,0.5356779660000001,Thursday,2,sweing,False,False
3,0.8,4.15,0.0,1440,0,0.0,0,0,7,1,0.8208333329999999,Wednesday,2,finishing,False,False
1,0.65,22.53,762.0,5040,0,0.0,0,1,42,0,0.581130952,Wednesday,4,sweing,False,False
4,0.7,30.1,767.0,3300,50,0.0,0,1,57,0,0.7900032359999999,Monday,2,sweing,False,False
3,0.75,4.15,0.0,1920,0,0.0,0,0,8,1,0.875390625,Monday,1,finishing,False,False
3,0.8,19.87,924.0,9900,50,0.0,0,0,55,0,0.8002738290000001,Wednesday,1,sweing,False,False
6,0.7,2.9,0.0,960,0,0.0,0,0,8,0,0.9425,Thursday,1,finishing,False,False
9,0.8,22.52,1086.0,6960,50,0.0,0,0,58,0,0.7999632179999999,Wednesday,1,sweing,False,False
12,0.8,15.26,900.0,4080,50,0.0,0,0,34,0,0.8004019609999999,Tuesday,2,sweing,False,False
3,0.8,4.6,0.0,6300,0,0.0,0,0,15,0,0.921703704,Saturday,4,finishing,False,False
8,0.75,29.4,534.0,6840,56,0.0,0,0,57,0,0.750473684,Tuesday,1,sweing,False,False
7,0.35,22.94,1450.0,10080,30,0.0,0,0,56,0,0.400332792,Tuesday,3,sweing,False,False
12,0.8,15.26,854.0,4080,50,0.0,0,0,34,0,0.8004019609999999,Wednesday,2,sweing,False,False
9,0.8,29.12,1069.0,6960,50,0.0,0,0,58,0,0.7999632179999999,Thursday,1,sweing,False,False
8,0.8,2.9,0.0,4800,0,0.0,0,0,8,1,0.397743056,Thursday,4,finishing,False,False
12,0.8,15.26,1021.0,4080,63,0.0,0,0,34,0,0.8004019609999999,Saturday,1,sweing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.681060606,Tuesday,1,finishing,False,False
4,0.7,30.1,667.0,5940,40,0.0,0,1,60,0,0.7005884059999999,Wednesday,2,sweing,False,False
2,0.65,16.1,626.0,4200,0,0.0,0,1,45,0,0.65024031,Saturday,1,sweing,False,False
11,0.8,11.41,968.0,3660,50,0.0,0,0,31,0,0.8005704920000001,Thursday,1,sweing,False,False
7,0.7,4.15,0.0,1800,0,0.0,0,0,15,0,0.258,Monday,3,finishing,False,False
4,0.8,22.52,1472.0,7020,60,0.0,0,0,59,0,0.85011396,Sunday,1,sweing,False,False
5,0.7,4.15,0.0,1440,0,0.0,0,0,8,1,1.033570076,Tuesday,3,finishing,False,False
6,0.8,11.61,1009.0,5640,63,0.0,0,0,32,0,0.800537143,Saturday,4,sweing,False,False
1,0.8,22.52,1498.0,0,113,0.0,0,0,57,0,1.000065789,Wednesday,2,sweing,False,False
8,0.8,2.9,0.0,1440,0,0.0,0,0,8,1,0.606912879,Thursday,3,finishing,False,False
3,0.8,29.4,983.0,6840,63,0.0,0,1,57,0,0.800578947,Saturday,1,sweing,False,False
10,0.8,22.52,1282.0,6720,75,0.0,0,0,56,0,0.850532143,Sunday,1,sweing,False,False
6,0.8,11.61,972.0,5670,38,0.0,0,0,32,0,0.8002467529999999,Wednesday,2,sweing,False,False
10,0.7,2.9,0.0,1800,0,0.0,0,0,15,0,0.902222222,Tuesday,4,finishing,False,False
12,0.8,26.87,585.0,5670,56,0.0,0,0,32,0,0.662255892,Sunday,3,sweing,False,False
10,0.75,28.08,1209.0,10530,45,0.0,0,0,59,0,0.750545455,Tuesday,1,sweing,False,False
6,0.8,11.61,712.0,7200,50,0.0,0,0,32,0,0.8002460109999999,Monday,1,sweing,False,False
3,0.5,5.13,0.0,1800,0,0.0,0,0,15,0,0.7866,Tuesday,3,finishing,False,False
10,0.7,21.25,1834.0,6360,0,0.0,0,1,53,0,0.471108491,Tuesday,4,sweing,False,False
7,0.65,30.48,935.0,6840,26,0.0,0,1,57,0,0.650596491,Wednesday,2,sweing,False,False
9,0.8,26.16,1128.0,10620,63,0.0,0,0,59,0,0.8001171029999999,Saturday,3,sweing,False,False
10,0.8,3.94,0.0,1440,0,0.0,0,0,8,1,0.846950758,Saturday,2,finishing,False,False
7,0.7,5.13,0.0,960,0,0.0,0,0,8,0,0.671875,Wednesday,3,finishing,False,False
3,0.8,29.4,1231.0,4680,50,0.0,0,0,57,0,0.800149813,Monday,1,sweing,False,False
9,0.75,2.9,0.0,960,0,0.0,0,0,8,0,0.4078125,Thursday,4,finishing,False,False
1,0.8,3.94,0.0,1440,0,0.0,0,0,12,0,0.664875,Thursday,2,finishing,False,False
2,0.75,22.52,1635.0,6840,119,0.0,0,0,57,0,1.000230409,Tuesday,4,sweing,False,False
